"Sample","AvgDistance","Type"
"TCGA-33-4532-01A-01R-1201-07",0.0514301390983752,"TP"
"TCGA-22-4591-01A-01R-1201-07",0.0514298299485815,"TP"
"TCGA-85-A50M-01A-21R-A262-07",0.0514098978517321,"TP"
"TCGA-22-4599-01A-01R-1443-07",0.0513951781007136,"TP"
"TCGA-39-5036-01A-01R-1443-07",0.0512751718886959,"TP"
"TCGA-18-3411-01A-01R-0980-07",0.0512578738527702,"TP"
"TCGA-58-8387-01A-11R-2296-07",0.0512577580947914,"TP"
"TCGA-63-7023-01A-11R-1949-07",0.0512354538014139,"TP"
"TCGA-77-8153-01A-11R-2403-07",0.051226297391762,"TP"
"TCGA-J1-A4AH-01A-31R-A24H-07",0.0512220764943324,"TP"
"TCGA-39-5035-01A-01R-1443-07",0.0512091450089291,"TP"
"TCGA-85-A4JB-01A-51R-A262-07",0.051206330796988,"TP"
"TCGA-60-2722-01A-01R-0851-07",0.0510504722519569,"TP"
"TCGA-33-A5GW-01A-11R-A27Q-07",0.0510192762248552,"TP"
"TCGA-18-3417-01A-01R-1443-07",0.0509727336286285,"TP"
"TCGA-39-5027-01A-21R-1820-07",0.0509661483234516,"TP"
"TCGA-34-5240-01A-01R-1443-07",0.0509332035996851,"TP"
"TCGA-60-2695-01A-01R-0851-07",0.050795003074688,"TP"
"TCGA-56-6546-01A-11R-1820-07",0.0507927614040326,"TP"
"TCGA-22-5480-01A-01R-1635-07",0.0507494096400494,"TP"
"TCGA-98-A53A-01A-11R-A262-07",0.0507481333098396,"TP"
"TCGA-77-8128-01A-11R-2247-07",0.050563463194506,"TP"
"TCGA-90-7766-01A-21R-2125-07",0.050555123311162,"TP"
"TCGA-77-8154-01A-11R-2247-07",0.0505459399307354,"TP"
"TCGA-22-5491-01A-01R-1635-07",0.0504737744235781,"TP"
"TCGA-NC-A5HQ-01A-11R-A26W-07",0.0504619307157426,"TP"
"TCGA-77-8140-01A-11R-2247-07",0.0504600899379818,"TP"
"TCGA-77-7465-01A-11R-2045-07",0.0504173656595376,"TP"
"TCGA-63-5128-01A-01R-1443-07",0.0504050930905828,"TP"
"TCGA-77-A5G7-01B-11R-A27Q-07",0.0504000393148095,"TP"
"TCGA-18-4083-01A-01R-1100-07",0.0503961000041264,"TP"
"TCGA-56-8304-01A-11R-2326-07",0.05039228703315,"TP"
"TCGA-90-A4EE-01A-11R-A24Z-07",0.0503817923855612,"TP"
"TCGA-43-7656-01A-11R-2125-07",0.0503332234759754,"TP"
"TCGA-77-8148-01A-11R-2247-07",0.0503155445499698,"TP"
"TCGA-52-7812-01A-11R-2125-07",0.0502224709691727,"TP"
"TCGA-56-8622-01A-11R-2403-07",0.0501877901610067,"TP"
