"Sample","LibrarySize","Type"
"TCGA-56-7731-11A-01R-2125-07",56271321,"NT"
"TCGA-37-3789-01A-01R-0980-07",56213684,"TP"
"TCGA-66-2791-01A-01R-0980-07",56201388,"TP"
"TCGA-22-1000-01A-01R-A32Z-07",56179674,"TP"
"TCGA-43-2578-01A-01R-0851-07",55900348,"TP"
"TCGA-39-5011-01A-01R-1443-07",55865340,"TP"
"TCGA-22-5471-11A-01R-1635-07",55717501,"NT"
"TCGA-68-A59J-01A-21R-A26W-07",55691217,"TP"
"TCGA-6A-AB49-01A-12R-A405-07",55611993,"TP"
"TCGA-39-5031-01A-01R-1443-07",55592968,"TP"
"TCGA-22-4594-01A-01R-1201-07",55424850,"TP"
"TCGA-39-5037-01A-01R-1443-07",55416992,"TP"
"TCGA-77-7463-01A-11R-2045-07",55386732,"TP"
"TCGA-33-4582-01A-01R-1443-07",55383700,"TP"
"TCGA-63-A5M9-01A-11R-A26W-07",55269232,"TP"
"TCGA-22-1017-01A-01R-0692-07",55237318,"TP"
"TCGA-18-3410-01A-01R-0980-07",55231277,"TP"
"TCGA-18-3414-01A-01R-0980-07",55211668,"TP"
"TCGA-98-A538-01A-11R-A262-07",55188918,"TP"
"TCGA-63-5131-01A-01R-1443-07",54921364,"TP"
"TCGA-21-1080-01A-01R-0692-07",54916435,"TP"
"TCGA-52-7809-01A-21R-2125-07",54873699,"TP"
"TCGA-37-4133-01A-01R-1100-07",54864396,"TP"
"TCGA-56-7579-11A-01R-2045-07",54859433,"NT"
"TCGA-34-5241-01A-01R-1443-07",54728318,"TP"
"TCGA-96-8170-01A-11R-2296-07",54666674,"TP"
"TCGA-85-A4CL-01A-41R-A26W-07",54625698,"TP"
"TCGA-33-A4WN-01A-11R-A262-07",54607232,"TP"
"TCGA-33-AASD-01A-11R-A405-07",54561335,"TP"
"TCGA-33-4587-11A-01R-2125-07",54276507,"NT"
"TCGA-85-A4QQ-01A-41R-A262-07",54224267,"TP"
"TCGA-21-1078-01A-01R-0692-07",54094068,"TP"
"TCGA-56-A4BX-01A-11R-A24H-07",54064220,"TP"
"TCGA-37-4129-01A-01R-1100-07",54017306,"TP"
"TCGA-58-8386-01A-11R-2296-07",53950603,"TP"
"TCGA-33-AASB-01A-11R-A405-07",53893940,"TP"
"TCGA-22-1017-01A-01R-A96U-41",53715687,"TP"
"TCGA-43-7656-01A-11R-2125-07",53583061,"TP"
"TCGA-56-7823-11A-01R-2247-07",53548602,"NT"
"TCGA-56-1622-01A-01R-0692-07",53494323,"TP"
"TCGA-77-7465-01A-11R-2045-07",53473732,"TP"
"TCGA-63-A5MB-01A-11R-A26W-07",53344484,"TP"
"TCGA-22-1016-01A-01R-0692-07",53271350,"TP"
"TCGA-34-2600-01A-01R-0851-07",53176997,"TP"
"TCGA-58-A46J-01A-11R-A24H-07",53164676,"TP"
"TCGA-NC-A5HN-01A-11R-A26W-07",53157735,"TP"
"TCGA-22-5481-01A-31R-1949-07",53034664,"TP"
"TCGA-18-4083-01A-01R-1100-07",52754981,"TP"
"TCGA-66-2757-01A-01R-0851-07",52651097,"TP"
"TCGA-66-2756-01A-01R-0851-07",52645913,"TP"
"TCGA-37-4132-01A-01R-1100-07",52574604,"TP"
"TCGA-56-8309-01A-11R-2296-07",52482598,"TP"
"TCGA-85-8353-01A-21R-2296-07",52416179,"TP"
"TCGA-22-4596-01A-01R-1201-07",52259790,"TP"
"TCGA-21-1079-01A-01R-0692-07",52176789,"TP"
